CFC_Lag3,Save_Ralph_Campaign,cruelty_free_cosmetics,elf,week
24.0,0,27,13,50
25.0,0,25,12,51
27.0,0,27,19,52
27.0,0,21,10,1
25.0,0,25,12,2
27.0,0,25,15,3
21.0,0,26,16,4
25.0,0,19,11,5
25.0,0,23,15,6
26.0,0,20,17,7
19.0,0,22,13,8
23.0,0,24,13,9
20.0,0,22,16,10
22.0,0,14,10,11
24.0,0,12,11,12
22.0,0,20,17,13
14.0,0,20,16,14
12.0,0,23,20,15
20.0,0,25,23,16
20.0,0,22,19,17
23.0,0,23,19,18
25.0,0,23,13,19
22.0,0,24,21,20
23.0,0,22,17,21
23.0,0,20,18,22
24.0,0,20,16,23
22.0,0,21,18,24
20.0,0,16,20,25
20.0,0,18,22,26
21.0,0,22,20,27
16.0,0,24,23,28
18.0,0,22,21,29
22.0,0,20,29,30
24.0,0,19,27,31
22.0,0,16,16,32
20.0,0,19,21,33
19.0,0,16,20,34
16.0,0,21,21,35
19.0,0,18,21,36
16.0,0,20,21,37
21.0,0,17,21,38
18.0,0,16,22,39
20.0,0,17,22,40
17.0,0,16,23,41
16.0,0,18,20,42
17.0,0,17,21,43
16.0,0,17,21,44
18.0,0,19,27,45
17.0,0,19,21,46
17.0,0,22,27,47
19.0,0,20,27,48
19.0,0,16,28,49
22.0,0,17,32,50
20.0,0,15,21,51
16.0,0,17,38,52
17.0,0,17,39,53
15.0,0,16,31,1
17.0,0,15,23,2
17.0,0,14,31,3
16.0,0,16,26,4
15.0,0,15,26,5
14.0,0,16,24,6
16.0,0,13,26,7
15.0,0,17,26,8
16.0,0,14,30,9
13.0,0,17,26,10
17.0,0,17,25,11
14.0,0,16,29,12
17.0,0,21,25,13
17.0,1,67,24,14
16.0,1,100,32,15
21.0,1,38,25,16
67.0,1,27,17,17
100.0,1,28,25,18
38.0,1,21,20,19
27.0,1,22,20,20
28.0,1,18,15,21
21.0,0,19,21,22
22.0,0,19,21,23
18.0,0,17,20,24
19.0,0,20,23,25
19.0,0,21,18,26
17.0,0,19,18,27
20.0,0,22,21,28
21.0,0,14,21,29
19.0,0,19,18,30
22.0,0,15,17,31
14.0,0,16,19,32
19.0,0,12,20,33
15.0,0,15,20,34
16.0,0,17,20,35
12.0,0,11,18,36
15.0,0,14,27,37
17.0,0,15,23,38
11.0,0,16,21,39
14.0,0,15,19,40
15.0,0,16,22,41
16.0,0,17,22,42
15.0,0,16,28,43
16.0,0,16,25,44
17.0,0,14,28,45
16.0,0,20,42,46
16.0,0,12,35,47
14.0,0,15,36,48
20.0,0,14,33,49
12.0,0,13,39,50
15.0,0,18,37,51
14.0,0,15,42,52
13.0,0,15,29,1
18.0,0,13,26,2
15.0,0,15,21,3
15.0,0,18,30,4
13.0,0,19,21,5
15.0,0,16,25,6
18.0,0,16,28,7
19.0,0,15,20,8
16.0,0,16,21,9
16.0,0,14,30,10
15.0,0,16,33,11
16.0,0,18,36,12
14.0,0,17,33,13
16.0,0,16,30,14
18.0,0,16,27,15
17.0,0,19,30,16
16.0,0,17,23,17
16.0,0,12,27,18
19.0,0,15,24,19
17.0,0,15,24,20
12.0,0,14,20,21
15.0,0,14,38,22
15.0,0,16,28,23
14.0,0,15,21,24
14.0,0,13,24,25
16.0,0,13,27,26
15.0,0,16,31,27
13.0,0,12,35,28
13.0,0,16,43,29
16.0,0,15,33,30
12.0,0,17,32,31
16.0,0,11,34,32
15.0,0,14,37,33
17.0,0,14,38,34
11.0,0,9,29,35
14.0,0,13,32,36
14.0,0,12,32,37
9.0,0,10,31,38
13.0,0,10,31,39
12.0,0,12,28,40
10.0,0,11,33,41
10.0,0,11,33,42
12.0,0,13,27,43
11.0,0,10,39,44
11.0,0,12,39,45
13.0,0,14,48,46
10.0,0,14,42,47
12.0,0,13,47,48
14.0,0,12,54,49
14.0,0,13,54,50
13.0,0,15,59,51
12.0,0,16,57,52
13.0,0,15,47,1
15.0,0,13,43,2
16.0,0,14,49,3
15.0,0,12,48,4
13.0,0,14,47,5
14.0,0,14,47,6
12.0,0,13,49,7
14.0,0,15,48,8
14.0,0,15,43,9
13.0,0,13,51,10
15.0,0,13,43,11
15.0,0,16,52,12
13.0,0,13,57,13
13.0,0,14,61,14
16.0,0,11,48,15
13.0,0,15,49,16
14.0,0,10,49,17
11.0,0,13,44,18
15.0,0,11,37,19
10.0,0,12,38,20
13.0,0,12,43,21
11.0,0,12,36,22
12.0,0,9,39,23
12.0,0,12,40,24
12.0,0,9,46,25
9.0,0,10,43,26
12.0,0,13,45,27
9.0,0,11,46,28
10.0,0,13,42,29
13.0,0,9,47,30
11.0,0,12,40,31
13.0,0,11,40,32
9.0,0,10,39,33
12.0,0,9,41,34
11.0,0,12,38,35
10.0,0,11,47,36
9.0,0,13,37,37
12.0,0,14,43,38
11.0,0,13,42,39
13.0,0,13,41,40
14.0,0,10,45,41
13.0,0,11,51,42
13.0,0,16,59,43
10.0,0,11,69,44
11.0,0,13,63,45
