Week,cosmetics: (Worldwide)
2019-11-10,72
2019-11-17,88
2019-11-24,100
2019-12-01,86
2019-12-08,77
2019-12-15,76
2019-12-22,72
2019-12-29,64
2020-01-05,65
2020-01-12,65
2020-01-19,67
2020-01-26,68
2020-02-02,65
2020-02-09,64
2020-02-16,68
2020-02-23,66
2020-03-01,66
2020-03-08,54
2020-03-15,50
2020-03-22,49
2020-03-29,57
2020-04-05,62
2020-04-12,63
2020-04-19,68
2020-04-26,69
2020-05-03,65
2020-05-10,68
2020-05-17,74
2020-05-24,65
2020-05-31,62
2020-06-07,62
2020-06-14,67
2020-06-21,67
2020-06-28,67
2020-07-05,67
2020-07-12,67
2020-07-19,62
2020-07-26,59
2020-08-02,58
2020-08-09,57
2020-08-16,60
2020-08-23,57
2020-08-30,59
2020-09-06,59
2020-09-13,58
2020-09-20,58
2020-09-27,57
2020-10-04,57
2020-10-11,61
2020-10-18,63
2020-10-25,57
2020-11-01,57
2020-11-08,72
2020-11-15,82
2020-11-22,90
2020-11-29,72
2020-12-06,68
2020-12-13,66
2020-12-20,60
2020-12-27,67
2021-01-03,59
2021-01-10,63
2021-01-17,59
2021-01-24,60
2021-01-31,60
2021-02-07,60
2021-02-14,58
2021-02-21,64
2021-02-28,60
2021-03-07,59
2021-03-14,59
2021-03-21,57
2021-03-28,57
2021-04-04,58
2021-04-11,59
2021-04-18,61
2021-04-25,57
2021-05-02,53
2021-05-09,55
2021-05-16,52
2021-05-23,54
2021-05-30,54
2021-06-06,51
2021-06-13,54
2021-06-20,52
2021-06-27,51
2021-07-04,65
2021-07-11,78
2021-07-18,75
2021-07-25,71
2021-08-01,68
2021-08-08,70
2021-08-15,69
2021-08-22,67
2021-08-29,73
2021-09-05,72
2021-09-12,71
2021-09-19,67
2021-09-26,70
2021-10-03,74
2021-10-10,73
2021-10-17,71
2021-10-24,70
2021-10-31,72
2021-11-07,81
2021-11-14,76
2021-11-21,98
2021-11-28,82
2021-12-05,73
2021-12-12,72
2021-12-19,73
2021-12-26,76
2022-01-02,66
2022-01-09,70
2022-01-16,65
2022-01-23,70
2022-01-30,78
2022-02-06,75
2022-02-13,70
2022-02-20,65
2022-02-27,67
2022-03-06,68
2022-03-13,63
2022-03-20,69
2022-03-27,66
2022-04-03,64
2022-04-10,62
2022-04-17,67
2022-04-24,71
2022-05-01,67
2022-05-08,63
2022-05-15,63
2022-05-22,64
2022-05-29,64
2022-06-05,61
2022-06-12,63
2022-06-19,62
2022-06-26,64
2022-07-03,66
2022-07-10,66
2022-07-17,64
2022-07-24,63
2022-07-31,66
2022-08-07,73
2022-08-14,66
2022-08-21,63
2022-08-28,63
2022-09-04,62
2022-09-11,70
2022-09-18,64
2022-09-25,63
2022-10-02,64
2022-10-09,66
2022-10-16,61
2022-10-23,62
2022-10-30,67
2022-11-06,75
2022-11-13,74
2022-11-20,92
2022-11-27,75
2022-12-04,70
2022-12-11,67
2022-12-18,67
2022-12-25,74
2023-01-01,72
2023-01-08,68
2023-01-15,70
2023-01-22,72
2023-01-29,73
2023-02-05,69
2023-02-12,70
2023-02-19,62
2023-02-26,62
2023-03-05,61
2023-03-12,59
2023-03-19,60
2023-03-26,58
2023-04-02,62
2023-04-09,60
2023-04-16,59
2023-04-23,58
2023-04-30,56
2023-05-07,55
2023-05-14,57
2023-05-21,55
2023-05-28,58
2023-06-04,60
2023-06-11,54
2023-06-18,56
2023-06-25,57
2023-07-02,59
2023-07-09,53
2023-07-16,57
2023-07-23,56
2023-07-30,57
2023-08-06,53
2023-08-13,54
2023-08-20,54
2023-08-27,55
2023-09-03,55
2023-09-10,53
2023-09-17,56
2023-09-24,56
2023-10-01,53
2023-10-08,58
2023-10-15,56
2023-10-22,59
2023-10-29,55
2023-11-05,66
2023-11-12,64
2023-11-19,83
2023-11-26,74
2023-12-03,68
2023-12-10,67
2023-12-17,64
2023-12-24,65
2023-12-31,64
2024-01-07,62
2024-01-14,64
2024-01-21,62
2024-01-28,64
2024-02-04,64
2024-02-11,61
2024-02-18,60
2024-02-25,62
2024-03-03,59
2024-03-10,58
2024-03-17,58
2024-03-24,60
2024-03-31,58
2024-04-07,59
2024-04-14,57
2024-04-21,56
2024-04-28,57
2024-05-05,56
2024-05-12,54
2024-05-19,52
2024-05-26,54
2024-06-02,53
2024-06-09,53
2024-06-16,51
2024-06-23,51
2024-06-30,56
2024-07-07,54
2024-07-14,55
2024-07-21,54
2024-07-28,54
2024-08-04,54
2024-08-11,52
2024-08-18,54
2024-08-25,52
2024-09-01,52
2024-09-08,52
2024-09-15,52
2024-09-22,53
2024-09-29,55
2024-10-06,56
2024-10-13,54
2024-10-20,54
2024-10-27,53
2024-11-03,58
2024-11-10,63
